Stock,Company Name
AAPL,Apple Inc
MSFT,Microsoft Corp
UNH,UnitedHealth Group
INTC,Intel Corp
JPM,JPMorgan Chase & Co
HD,Home Depot Inc
IBM,IBM Corp
MMM,3M Company
AMGN,Amgen Inc
MCD,McDonald's Corp
