Stock,Company Name
SQ,Square Inc
ETSY,Etsy Inc
TTD,The Trade Desk Inc
SPCE,Virgin Galactic Holdings Inc
PENN,Penn National Gaming
SNAP,Snap Inc
DOCU,DocuSign Inc
UAA,Under Armour Inc
LYV,Live Nation Entertainment
DKNG,DraftKings Inc
